,noise_rate,alpha,success,performance,drift_name
0,0.0,0.9999,False,-1,nodrift_noisy
1,0.0,0.9999,False,12000,stagger_short
2,0.0,0.9999,False,12000,sine1_short
3,0.0,0.9999,False,12000,sine2_short
4,0.0,0.9999,False,12000,smooth_concept_drift
5,0.0,0.9999,False,12000,abrupt_concept_drift
6,0.0,0.9999,False,12000,abrupt_covariate
7,0.0,0.9999,False,12000,gradual_concept_drift
8,0.0,0.8,False,-1,nodrift_noisy
9,0.0,0.8,False,12000,stagger_short
10,0.0,0.8,False,12000,sine1_short
11,0.0,0.8,True,11,sine2_short
12,0.0,0.8,False,12000,smooth_concept_drift
13,0.0,0.8,False,12000,abrupt_concept_drift
14,0.0,0.8,False,12000,abrupt_covariate
15,0.0,0.8,False,12000,gradual_concept_drift
16,0.0,0.5,False,-1,nodrift_noisy
17,0.0,0.5,False,12000,stagger_short
18,0.0,0.5,False,12000,sine1_short
19,0.0,0.5,True,21,sine2_short
20,0.0,0.5,False,12000,smooth_concept_drift
21,0.0,0.5,False,12000,abrupt_concept_drift
22,0.0,0.5,False,12000,abrupt_covariate
23,0.0,0.5,False,12000,gradual_concept_drift
24,0.0,0.25,False,-1,nodrift_noisy
25,0.0,0.25,False,12000,stagger_short
26,0.0,0.25,False,12000,sine1_short
27,0.0,0.25,True,22,sine2_short
28,0.0,0.25,False,12000,smooth_concept_drift
29,0.0,0.25,False,12000,abrupt_concept_drift
30,0.0,0.25,False,12000,abrupt_covariate
31,0.0,0.25,False,12000,gradual_concept_drift
32,0.0,0.1,False,-1,nodrift_noisy
33,0.0,0.1,False,12000,stagger_short
34,0.0,0.1,False,12000,sine1_short
35,0.0,0.1,True,27,sine2_short
36,0.0,0.1,False,12000,smooth_concept_drift
37,0.0,0.1,False,12000,abrupt_concept_drift
38,0.0,0.1,False,12000,abrupt_covariate
39,0.0,0.1,True,87,gradual_concept_drift
40,0.0,0.01,True,-1,nodrift_noisy
41,0.0,0.01,True,160,stagger_short
42,0.0,0.01,True,35,sine1_short
43,0.0,0.01,True,29,sine2_short
44,0.0,0.01,True,1599,smooth_concept_drift
45,0.0,0.01,True,100,abrupt_concept_drift
