,noise_rate,alpha,success,performance,drift_name
0,0.0,0.9999,False,-1,nodrift_noisy
1,0.0,0.9999,True,20,stagger_short
2,0.0,0.9999,False,12000,sine1_short
3,0.0,0.9999,True,11,sine2_short
4,0.0,0.9999,True,664,smooth_concept_drift
5,0.0,0.9999,True,56,abrupt_concept_drift
6,0.0,0.9999,False,12000,abrupt_covariate
7,0.0,0.9999,False,12000,gradual_concept_drift
8,0.0,0.8,False,-1,nodrift_noisy
9,0.0,0.8,True,24,stagger_short
10,0.0,0.8,False,12000,sine1_short
11,0.0,0.8,True,11,sine2_short
12,0.0,0.8,False,12000,smooth_concept_drift
13,0.0,0.8,False,12000,abrupt_concept_drift
14,0.0,0.8,True,283,abrupt_covariate
15,0.0,0.8,False,12000,gradual_concept_drift
16,0.0,0.5,False,-1,nodrift_noisy
17,0.0,0.5,True,35,stagger_short
18,0.0,0.5,True,27,sine1_short
19,0.0,0.5,True,14,sine2_short
20,0.0,0.5,True,675,smooth_concept_drift
21,0.0,0.5,True,90,abrupt_concept_drift
22,0.0,0.5,False,12000,abrupt_covariate
23,0.0,0.5,True,88,gradual_concept_drift
24,0.0,0.25,False,-1,nodrift_noisy
25,0.0,0.25,True,40,stagger_short
26,0.0,0.25,True,27,sine1_short
27,0.0,0.25,True,18,sine2_short
28,0.0,0.25,True,775,smooth_concept_drift
29,0.0,0.25,True,83,abrupt_concept_drift
30,0.0,0.25,True,155,abrupt_covariate
31,0.0,0.25,True,104,gradual_concept_drift
32,0.0,0.1,True,-1,nodrift_noisy
33,0.0,0.1,True,49,stagger_short
34,0.0,0.1,True,27,sine1_short
35,0.0,0.1,True,25,sine2_short
36,0.0,0.1,True,929,smooth_concept_drift
37,0.0,0.1,True,77,abrupt_concept_drift
38,0.0,0.1,True,450,abrupt_covariate
39,0.0,0.1,True,108,gradual_concept_drift
40,0.0,0.01,True,-1,nodrift_noisy
41,0.0,0.01,True,74,stagger_short
42,0.0,0.01,True,39,sine1_short
43,0.0,0.01,True,28,sine2_short
44,0.0,0.01,True,1104,smooth_concept_drift
45,0.0,0.01,True,118,abrupt_concept_drift
46,0.0,0.01,True,539,abrupt_covariate
47,0.0,0.01,True,154,gradual_concept_drift
48,0.0,0.001,True,-1,nodrift_noisy
49,0.0,0.001,True,91,stagger_short
50,0.0,0.001,True,55,sine1_short
51,0.0,0.001,True,40,sine2_short
52,0.0,0.001,True,1001,smooth_concept_drift
53,0.0,0.001,True,119,abrupt_concept_drift
54,0.0,0.001,True,676,abrupt_covariate
55,0.0,0.001,True,883,gradual_concept_drift
56,0.0,0.0001,True,-1,nodrift_noisy
57,0.0,0.0001,True,103,stagger_short
58,0.0,0.0001,True,76,sine1_short
59,0.0,0.0001,True,89,sine2_short
60,0.0,0.0001,True,1298,smooth_concept_drift
61,0.0,0.0001,True,135,abrupt_concept_drift
62,0.0,0.0001,True,983,abrupt_covariate
63,0.0,0.0001,True,961,gradual_concept_drift
64,0.001,0.9999,False,-1,nodrift_noisy001
