,noise_rate,alpha,success,performance,drift_name
0,0.0,1.0,False,10000,nodrift_noisy
1,0.0,1.0,False,10000,smooth_concept_drift
2,0.0,1.0,False,10000,abrupt_concept_drift
3,0.0,1.0,False,10000,abrupt_covariate
4,0.0,1.0,False,10000,gradual_concept_drift
5,0.0,0.1,False,10000,nodrift_noisy
6,0.0,0.1,True,629,smooth_concept_drift
7,0.0,0.1,True,22,abrupt_concept_drift
8,0.0,0.1,True,1157,abrupt_covariate
9,0.0,0.1,True,688,gradual_concept_drift
10,0.0,0.001,False,10000,nodrift_noisy
11,0.0,0.001,False,10000,smooth_concept_drift
12,0.0,0.001,True,37,abrupt_concept_drift
13,0.0,0.001,False,10000,abrupt_covariate
14,0.0,0.001,True,695,gradual_concept_drift
15,0.0,0.0005,False,10000,nodrift_noisy
16,0.0,0.0005,False,10000,smooth_concept_drift
17,0.0,0.0005,True,32,abrupt_concept_drift
18,0.0,0.0005,False,10000,abrupt_covariate
19,0.0,0.0005,True,701,gradual_concept_drift
20,0.0,0.0001,False,10000,nodrift_noisy
21,0.0,0.0001,False,10000,smooth_concept_drift
22,0.0,0.0001,True,57,abrupt_concept_drift
23,0.0,0.0001,False,10000,abrupt_covariate
24,0.0,0.0001,True,735,gradual_concept_drift
25,0.001,1.0,False,10000,nodrift_noisy001
26,0.001,1.0,False,10000,smooth_concept_drift_noisy001
27,0.001,1.0,False,10000,abrupt_concept_drift_noisy001
28,0.001,1.0,False,10000,abrupt_covariate_noisy001
29,0.001,1.0,False,10000,gradual_concept_drift_noisy001
30,0.001,0.1,False,10000,nodrift_noisy001
31,0.001,0.1,True,1493,smooth_concept_drift_noisy001
32,0.001,0.1,True,22,abrupt_concept_drift_noisy001
33,0.001,0.1,True,601,abrupt_covariate_noisy001
34,0.001,0.1,True,704,gradual_concept_drift_noisy001
35,0.001,0.001,False,10000,nodrift_noisy001
36,0.001,0.001,False,10000,smooth_concept_drift_noisy001
37,0.001,0.001,True,55,abrupt_concept_drift_noisy001
38,0.001,0.001,False,10000,abrupt_covariate_noisy001
39,0.001,0.001,True,690,gradual_concept_drift_noisy001
40,0.001,0.0005,False,10000,nodrift_noisy001
41,0.001,0.0005,False,10000,smooth_concept_drift_noisy001
42,0.001,0.0005,True,53,abrupt_concept_drift_noisy001
43,0.001,0.0005,False,10000,abrupt_covariate_noisy001
44,0.001,0.0005,True,716,gradual_concept_drift_noisy001
45,0.001,0.0001,False,10000,nodrift_noisy001
46,0.001,0.0001,False,10000,smooth_concept_drift_noisy001
47,0.001,0.0001,True,41,abrupt_concept_drift_noisy001
48,0.001,0.0001,False,10000,abrupt_covariate_noisy001
49,0.001,0.0001,True,701,gradual_concept_drift_noisy001
50,0.01,1.0,False,10000,nodrift_noisy01
51,0.01,1.0,False,10000,smooth_concept_drift_noisy01
52,0.01,1.0,False,10000,abrupt_concept_drift_noisy01
53,0.01,1.0,False,10000,abrupt_covariate_noisy01
54,0.01,1.0,False,10000,gradual_concept_drift_noisy01
55,0.01,0.1,False,10000,nodrift_noisy01
56,0.01,0.1,True,1020,smooth_concept_drift_noisy01
