,noise_rate,alpha,success,performance,drift_name
0,0.0,1.0,False,-1,nodrift_noisy
1,0.0,1.0,False,12000,stagger_short
2,0.0,1.0,False,12000,sine1_short
3,0.0,1.0,False,12000,sine2_short
4,0.0,0.1,True,-1,nodrift_noisy
5,0.0,0.1,True,19,stagger_short
6,0.0,0.1,True,5,sine1_short
7,0.0,0.1,True,10,sine2_short
8,0.0,0.001,True,-1,nodrift_noisy
9,0.0,0.001,True,24,stagger_short
10,0.0,0.001,True,19,sine1_short
11,0.0,0.001,True,18,sine2_short
12,0.0,0.0005,True,-1,nodrift_noisy
13,0.0,0.0005,True,25,stagger_short
14,0.0,0.0005,True,18,sine1_short
15,0.0,0.0005,True,18,sine2_short
16,0.0,0.0001,True,-1,nodrift_noisy
17,0.0,0.0001,True,28,stagger_short
18,0.0,0.0001,True,20,sine1_short
19,0.0,0.0001,True,16,sine2_short
20,0.001,1.0,False,-1,nodrift_noisy001
21,0.001,1.0,False,12000,stagger_short_noisy001
22,0.001,1.0,False,12000,sine1_short_noisy001
23,0.001,1.0,False,12000,sine2_short_noisy001
24,0.001,0.1,True,-1,nodrift_noisy001
25,0.001,0.1,True,18,stagger_short_noisy001
26,0.001,0.1,True,2,sine1_short_noisy001
27,0.001,0.1,True,12,sine2_short_noisy001
28,0.001,0.001,True,-1,nodrift_noisy001
29,0.001,0.001,True,25,stagger_short_noisy001
30,0.001,0.001,True,13,sine1_short_noisy001
31,0.001,0.001,True,18,sine2_short_noisy001
32,0.001,0.0005,True,-1,nodrift_noisy001
33,0.001,0.0005,True,27,stagger_short_noisy001
34,0.001,0.0005,True,15,sine1_short_noisy001
35,0.001,0.0005,True,17,sine2_short_noisy001
36,0.001,0.0001,True,-1,nodrift_noisy001
37,0.001,0.0001,True,28,stagger_short_noisy001
38,0.001,0.0001,True,20,sine1_short_noisy001
39,0.001,0.0001,True,18,sine2_short_noisy001
40,0.01,1.0,False,-1,nodrift_noisy01
41,0.01,1.0,False,12000,stagger_short_noisy01
42,0.01,1.0,False,12000,sine1_short_noisy01
43,0.01,1.0,False,12000,sine2_short_noisy01
44,0.01,0.1,True,-1,nodrift_noisy01
45,0.01,0.1,True,19,stagger_short_noisy01
46,0.01,0.1,True,7,sine1_short_noisy01
47,0.01,0.1,True,12,sine2_short_noisy01
48,0.01,0.001,True,-1,nodrift_noisy01
49,0.01,0.001,True,28,stagger_short_noisy01
