,noise_rate,alpha,success,performance,drift_name
0,0.0,0.0005,True,19,stagger_short
1,0.0,0.0005,True,16,sine1_short
2,0.0,0.0005,True,15,sine2_short
3,0.0,0.0005,False,6000,smooth_concept_drift
4,0.0,0.0005,False,4500,abrupt_concept_drift
5,0.0,0.0005,True,27,abrupt_covariate
6,0.0,0.0005,False,6000,gradual_concept_drift
7,0.0,0.0005,False,-1,nodrift_noisy
8,0.0,0.0001,True,22,stagger_short
9,0.0,0.0001,True,17,sine1_short
10,0.0,0.0001,True,18,sine2_short
11,0.0,0.0001,True,5376,smooth_concept_drift
12,0.0,0.0001,False,4500,abrupt_concept_drift
13,0.0,0.0001,True,27,abrupt_covariate
14,0.0,0.0001,True,129,gradual_concept_drift
15,0.0,0.0001,False,-1,nodrift_noisy
16,0.0,5e-05,True,23,stagger_short
17,0.0,5e-05,True,20,sine1_short
18,0.0,5e-05,True,23,sine2_short
19,0.0,5e-05,False,6000,smooth_concept_drift
20,0.0,5e-05,False,4500,abrupt_concept_drift
21,0.0,5e-05,False,6300,abrupt_covariate
22,0.0,5e-05,True,18,gradual_concept_drift
23,0.0,5e-05,False,-1,nodrift_noisy
24,0.0,1e-05,True,23,stagger_short
25,0.0,1e-05,True,23,sine1_short
26,0.0,1e-05,True,24,sine2_short
27,0.0,1e-05,False,6000,smooth_concept_drift
28,0.0,1e-05,False,4500,abrupt_concept_drift
29,0.0,1e-05,True,1828,abrupt_covariate
30,0.0,1e-05,True,1835,gradual_concept_drift
31,0.0,1e-05,True,-1,nodrift_noisy
32,0.001,0.0005,True,18,stagger_short_noisy001
33,0.001,0.0005,False,2000,sine1_short_noisy001
34,0.001,0.0005,True,23,sine2_short_noisy001
35,0.001,0.0005,False,6000,smooth_concept_drift_noisy001
36,0.001,0.0005,False,4500,abrupt_concept_drift_noisy001
37,0.001,0.0005,False,6300,abrupt_covariate_noisy001
38,0.001,0.0005,False,6000,gradual_concept_drift_noisy001
39,0.001,0.0005,False,-1,nodrift_noisy001
40,0.001,0.0001,True,21,stagger_short_noisy001
41,0.001,0.0001,False,2000,sine1_short_noisy001
42,0.001,0.0001,True,20,sine2_short_noisy001
43,0.001,0.0001,False,6000,smooth_concept_drift_noisy001
44,0.001,0.0001,False,4500,abrupt_concept_drift_noisy001
45,0.001,0.0001,False,6300,abrupt_covariate_noisy001
46,0.001,0.0001,True,627,gradual_concept_drift_noisy001
47,0.001,0.0001,False,-1,nodrift_noisy001
48,0.001,5e-05,True,22,stagger_short_noisy001
49,0.001,5e-05,True,28,sine1_short_noisy001
50,0.001,5e-05,True,29,sine2_short_noisy001
51,0.001,5e-05,False,6000,smooth_concept_drift_noisy001
52,0.001,5e-05,False,4500,abrupt_concept_drift_noisy001
53,0.001,5e-05,False,6300,abrupt_covariate_noisy001
54,0.001,5e-05,True,38,gradual_concept_drift_noisy001
55,0.001,5e-05,True,-1,nodrift_noisy001
56,0.001,1e-05,True,21,stagger_short_noisy001
57,0.001,1e-05,True,31,sine1_short_noisy001
58,0.001,1e-05,True,22,sine2_short_noisy001
59,0.001,1e-05,False,6000,smooth_concept_drift_noisy001
60,0.001,1e-05,False,4500,abrupt_concept_drift_noisy001
61,0.001,1e-05,False,6300,abrupt_covariate_noisy001
62,0.001,1e-05,False,6000,gradual_concept_drift_noisy001
63,0.001,1e-05,True,-1,nodrift_noisy001
64,0.01,0.0005,True,20,stagger_short_noisy01
65,0.01,0.0005,False,2000,sine1_short_noisy01
66,0.01,0.0005,True,20,sine2_short_noisy01
67,0.01,0.0005,False,6000,smooth_concept_drift_noisy01
68,0.01,0.0005,False,4500,abrupt_concept_drift_noisy01
69,0.01,0.0005,False,6300,abrupt_covariate_noisy01
70,0.01,0.0005,False,6000,gradual_concept_drift_noisy01
71,0.01,0.0005,False,-1,nodrift_noisy01
72,0.01,0.0001,True,22,stagger_short_noisy01
73,0.01,0.0001,True,10,sine1_short_noisy01
74,0.01,0.0001,True,23,sine2_short_noisy01
75,0.01,0.0001,False,6000,smooth_concept_drift_noisy01
76,0.01,0.0001,False,4500,abrupt_concept_drift_noisy01
77,0.01,0.0001,True,3983,abrupt_covariate_noisy01
78,0.01,0.0001,False,6000,gradual_concept_drift_noisy01
79,0.01,0.0001,False,-1,nodrift_noisy01
80,0.01,5e-05,True,20,stagger_short_noisy01
81,0.01,5e-05,True,19,sine1_short_noisy01
82,0.01,5e-05,True,22,sine2_short_noisy01
83,0.01,5e-05,False,6000,smooth_concept_drift_noisy01
