,noise_rate,alpha,success,performance,drift_name
0,0.0,1.0,False,6000,stagger_short
1,0.0,1.0,False,3000,sine1_short
2,0.0,1.0,False,3000,sine2_short
3,0.0,1.0,False,3000,smooth_concept_drift
4,0.0,1.0,False,3000,abrupt_concept_drift
5,0.0,1.0,False,3000,abrupt_covariate
6,0.0,1.0,False,3000,gradual_concept_drift
7,0.0,0.8,False,6000,stagger_short
8,0.0,0.8,False,3000,sine1_short
9,0.0,0.8,False,3000,sine2_short
10,0.0,0.8,False,3000,smooth_concept_drift
11,0.0,0.8,False,3000,abrupt_concept_drift
12,0.0,0.8,False,3000,abrupt_covariate
13,0.0,0.8,False,3000,gradual_concept_drift
14,0.0,0.5,False,6000,stagger_short
15,0.0,0.5,False,3000,sine1_short
16,0.0,0.5,False,3000,sine2_short
17,0.0,0.5,False,3000,smooth_concept_drift
18,0.0,0.5,False,3000,abrupt_concept_drift
19,0.0,0.5,False,3000,abrupt_covariate
20,0.0,0.5,False,3000,gradual_concept_drift
21,0.0,0.25,False,6000,stagger_short
22,0.0,0.25,False,3000,sine1_short
23,0.0,0.25,False,3000,sine2_short
24,0.0,0.25,False,3000,smooth_concept_drift
25,0.0,0.25,False,3000,abrupt_concept_drift
26,0.0,0.25,False,3000,abrupt_covariate
27,0.0,0.25,False,3000,gradual_concept_drift
28,0.0,0.1,False,6000,stagger_short
29,0.0,0.1,False,3000,sine1_short
30,0.0,0.1,False,3000,sine2_short
31,0.0,0.1,False,3000,smooth_concept_drift
32,0.0,0.1,False,3000,abrupt_concept_drift
33,0.0,0.1,False,3000,abrupt_covariate
34,0.0,0.1,False,3000,gradual_concept_drift
35,0.0,0.01,False,6000,stagger_short
36,0.0,0.01,False,3000,sine1_short
37,0.0,0.01,False,3000,sine2_short
38,0.0,0.01,False,3000,smooth_concept_drift
39,0.0,0.01,False,3000,abrupt_concept_drift
40,0.0,0.01,False,3000,abrupt_covariate
41,0.0,0.01,False,3000,gradual_concept_drift
42,0.0,0.001,False,6000,stagger_short
43,0.0,0.001,False,3000,sine1_short
44,0.0,0.001,True,25,sine2_short
45,0.0,0.001,True,1641,smooth_concept_drift
46,0.0,0.001,False,3000,abrupt_concept_drift
47,0.0,0.001,False,3000,abrupt_covariate
48,0.0,0.001,True,33,gradual_concept_drift
49,0.0,0.0001,True,19,stagger_short
50,0.0,0.0001,True,18,sine1_short
51,0.0,0.0001,True,21,sine2_short
52,0.0,0.0001,False,3000,smooth_concept_drift
53,0.0,0.0001,True,28,abrupt_concept_drift
54,0.0,0.0001,True,629,abrupt_covariate
55,0.0,0.0001,True,23,gradual_concept_drift
56,0.001,1.0,False,6000,stagger_short_noisy001
57,0.001,1.0,False,3000,sine1_short_noisy001
58,0.001,1.0,False,3000,sine2_short_noisy001
59,0.001,1.0,False,3000,smooth_concept_drift_noisy001
60,0.001,1.0,False,3000,abrupt_concept_drift_noisy001
61,0.001,1.0,False,3000,abrupt_covariate_noisy001
62,0.001,1.0,False,3000,gradual_concept_drift_noisy001
63,0.001,0.8,False,6000,stagger_short_noisy001
64,0.001,0.8,False,3000,sine1_short_noisy001
65,0.001,0.8,False,3000,sine2_short_noisy001
66,0.001,0.8,False,3000,smooth_concept_drift_noisy001
67,0.001,0.8,False,3000,abrupt_concept_drift_noisy001
68,0.001,0.8,False,3000,abrupt_covariate_noisy001
69,0.001,0.8,False,3000,gradual_concept_drift_noisy001
70,0.001,0.5,False,6000,stagger_short_noisy001
71,0.001,0.5,False,3000,sine1_short_noisy001
72,0.001,0.5,False,3000,sine2_short_noisy001
73,0.001,0.5,False,3000,smooth_concept_drift_noisy001
74,0.001,0.5,False,3000,abrupt_concept_drift_noisy001
75,0.001,0.5,False,3000,abrupt_covariate_noisy001
76,0.001,0.5,False,3000,gradual_concept_drift_noisy001
77,0.001,0.25,False,6000,stagger_short_noisy001
78,0.001,0.25,False,3000,sine1_short_noisy001
79,0.001,0.25,False,3000,sine2_short_noisy001
80,0.001,0.25,False,3000,smooth_concept_drift_noisy001
81,0.001,0.25,False,3000,abrupt_concept_drift_noisy001
82,0.001,0.25,False,3000,abrupt_covariate_noisy001
83,0.001,0.25,False,3000,gradual_concept_drift_noisy001
84,0.001,0.1,False,6000,stagger_short_noisy001
85,0.001,0.1,False,3000,sine1_short_noisy001
86,0.001,0.1,False,3000,sine2_short_noisy001
87,0.001,0.1,False,3000,smooth_concept_drift_noisy001
88,0.001,0.1,False,3000,abrupt_concept_drift_noisy001
89,0.001,0.1,False,3000,abrupt_covariate_noisy001
90,0.001,0.1,False,3000,gradual_concept_drift_noisy001
91,0.001,0.01,False,6000,stagger_short_noisy001
92,0.001,0.01,False,3000,sine1_short_noisy001
93,0.001,0.01,False,3000,sine2_short_noisy001
94,0.001,0.01,False,3000,smooth_concept_drift_noisy001
95,0.001,0.01,False,3000,abrupt_concept_drift_noisy001
96,0.001,0.01,False,3000,abrupt_covariate_noisy001
97,0.001,0.01,False,3000,gradual_concept_drift_noisy001
98,0.001,0.001,False,6000,stagger_short_noisy001
99,0.001,0.001,False,3000,sine1_short_noisy001
100,0.001,0.001,True,18,sine2_short_noisy001
101,0.001,0.001,False,3000,smooth_concept_drift_noisy001
102,0.001,0.001,False,3000,abrupt_concept_drift_noisy001
103,0.001,0.001,True,18,abrupt_covariate_noisy001
104,0.001,0.001,True,14,gradual_concept_drift_noisy001
105,0.001,0.0001,True,22,stagger_short_noisy001
106,0.001,0.0001,True,19,sine1_short_noisy001
107,0.001,0.0001,True,21,sine2_short_noisy001
108,0.001,0.0001,False,3000,smooth_concept_drift_noisy001
109,0.001,0.0001,True,32,abrupt_concept_drift_noisy001
110,0.001,0.0001,True,26,abrupt_covariate_noisy001
111,0.001,0.0001,True,420,gradual_concept_drift_noisy001
112,0.01,1.0,False,6000,stagger_short_noisy01
113,0.01,1.0,False,3000,sine1_short_noisy01
114,0.01,1.0,False,3000,sine2_short_noisy01
115,0.01,1.0,False,3000,smooth_concept_drift_noisy01
116,0.01,1.0,False,3000,abrupt_concept_drift_noisy01
117,0.01,1.0,False,3000,abrupt_covariate_noisy01
118,0.01,1.0,False,3000,gradual_concept_drift_noisy01
119,0.01,0.8,False,6000,stagger_short_noisy01
120,0.01,0.8,False,3000,sine1_short_noisy01
121,0.01,0.8,False,3000,sine2_short_noisy01
122,0.01,0.8,False,3000,smooth_concept_drift_noisy01
123,0.01,0.8,False,3000,abrupt_concept_drift_noisy01
124,0.01,0.8,False,3000,abrupt_covariate_noisy01
125,0.01,0.8,False,3000,gradual_concept_drift_noisy01
126,0.01,0.5,False,6000,stagger_short_noisy01
127,0.01,0.5,False,3000,sine1_short_noisy01
128,0.01,0.5,False,3000,sine2_short_noisy01
129,0.01,0.5,False,3000,smooth_concept_drift_noisy01
130,0.01,0.5,False,3000,abrupt_concept_drift_noisy01
131,0.01,0.5,False,3000,abrupt_covariate_noisy01
132,0.01,0.5,False,3000,gradual_concept_drift_noisy01
133,0.01,0.25,False,6000,stagger_short_noisy01
134,0.01,0.25,False,3000,sine1_short_noisy01
135,0.01,0.25,False,3000,sine2_short_noisy01
136,0.01,0.25,False,3000,smooth_concept_drift_noisy01
137,0.01,0.25,False,3000,abrupt_concept_drift_noisy01
138,0.01,0.25,False,3000,abrupt_covariate_noisy01
139,0.01,0.25,False,3000,gradual_concept_drift_noisy01
140,0.01,0.1,False,6000,stagger_short_noisy01
141,0.01,0.1,False,3000,sine1_short_noisy01
142,0.01,0.1,False,3000,sine2_short_noisy01
143,0.01,0.1,False,3000,smooth_concept_drift_noisy01
144,0.01,0.1,False,3000,abrupt_concept_drift_noisy01
145,0.01,0.1,False,3000,abrupt_covariate_noisy01
146,0.01,0.1,False,3000,gradual_concept_drift_noisy01
147,0.01,0.01,False,6000,stagger_short_noisy01
148,0.01,0.01,False,3000,sine1_short_noisy01
149,0.01,0.01,True,13,sine2_short_noisy01
150,0.01,0.01,False,3000,smooth_concept_drift_noisy01
151,0.01,0.01,False,3000,abrupt_concept_drift_noisy01
