,noise_rate,delta_d,success,performance,drift_name
0,0.0,1.0,False,6000,stagger_short
1,0.0,1.0,False,3000,sine1_short
2,0.0,1.0,False,3000,sine2_short
3,0.0,1.0,False,3000,smooth_concept_drift
4,0.0,1.0,False,3000,abrupt_concept_drift
5,0.0,1.0,False,3000,abrupt_covariate
6,0.0,1.0,False,3000,gradual_concept_drift
7,0.0,1.0,True,-1,nodrift_noisy
8,0.0,0.8,False,6000,stagger_short
9,0.0,0.8,False,3000,sine1_short
10,0.0,0.8,False,3000,sine2_short
11,0.0,0.8,False,3000,smooth_concept_drift
12,0.0,0.8,False,3000,abrupt_concept_drift
13,0.0,0.8,False,3000,abrupt_covariate
14,0.0,0.8,False,3000,gradual_concept_drift
15,0.0,0.8,True,-1,nodrift_noisy
16,0.0,0.5,False,6000,stagger_short
17,0.0,0.5,False,3000,sine1_short
18,0.0,0.5,False,3000,sine2_short
19,0.0,0.5,False,3000,smooth_concept_drift
20,0.0,0.5,False,3000,abrupt_concept_drift
21,0.0,0.5,False,3000,abrupt_covariate
22,0.0,0.5,False,3000,gradual_concept_drift
23,0.0,0.5,True,-1,nodrift_noisy
24,0.0,0.25,True,167,stagger_short
25,0.0,0.25,True,116,sine1_short
26,0.0,0.25,True,117,sine2_short
27,0.0,0.25,False,3000,smooth_concept_drift
28,0.0,0.25,True,939,abrupt_concept_drift
29,0.0,0.25,False,3000,abrupt_covariate
30,0.0,0.25,False,3000,gradual_concept_drift
31,0.0,0.25,True,-1,nodrift_noisy
32,0.0,0.1,True,111,stagger_short
33,0.0,0.1,True,81,sine1_short
34,0.0,0.1,True,91,sine2_short
35,0.0,0.1,True,595,smooth_concept_drift
36,0.0,0.1,True,162,abrupt_concept_drift
37,0.0,0.1,False,3000,abrupt_covariate
38,0.0,0.1,True,1151,gradual_concept_drift
39,0.0,0.1,True,-1,nodrift_noisy
40,0.0,0.01,True,96,stagger_short
41,0.0,0.01,True,67,sine1_short
42,0.0,0.01,True,74,sine2_short
43,0.0,0.01,True,525,smooth_concept_drift
44,0.0,0.01,True,108,abrupt_concept_drift
45,0.0,0.01,True,418,abrupt_covariate
46,0.0,0.01,True,497,gradual_concept_drift
47,0.0,0.01,True,-1,nodrift_noisy
48,0.0,0.001,True,94,stagger_short
49,0.0,0.001,True,66,sine1_short
50,0.0,0.001,True,73,sine2_short
51,0.0,0.001,True,470,smooth_concept_drift
52,0.0,0.001,True,122,abrupt_concept_drift
53,0.0,0.001,True,517,abrupt_covariate
54,0.0,0.001,True,415,gradual_concept_drift
55,0.0,0.001,True,-1,nodrift_noisy
56,0.0,0.0001,True,94,stagger_short
57,0.0,0.0001,True,66,sine1_short
58,0.0,0.0001,True,73,sine2_short
59,0.0,0.0001,True,568,smooth_concept_drift
60,0.0,0.0001,True,104,abrupt_concept_drift
61,0.0,0.0001,False,3000,abrupt_covariate
62,0.0,0.0001,True,637,gradual_concept_drift
63,0.0,0.0001,True,-1,nodrift_noisy
64,0.001,1.0,False,6000,stagger_short_noisy001
65,0.001,1.0,False,3000,sine1_short_noisy001
66,0.001,1.0,False,3000,sine2_short_noisy001
67,0.001,1.0,False,3000,smooth_concept_drift_noisy001
68,0.001,1.0,False,3000,abrupt_concept_drift_noisy001
69,0.001,1.0,False,3000,abrupt_covariate_noisy001
70,0.001,1.0,False,3000,gradual_concept_drift_noisy001
71,0.001,1.0,True,-1,nodrift_noisy001
72,0.001,0.8,False,6000,stagger_short_noisy001
73,0.001,0.8,False,3000,sine1_short_noisy001
74,0.001,0.8,False,3000,sine2_short_noisy001
75,0.001,0.8,False,3000,smooth_concept_drift_noisy001
76,0.001,0.8,False,3000,abrupt_concept_drift_noisy001
77,0.001,0.8,False,3000,abrupt_covariate_noisy001
78,0.001,0.8,False,3000,gradual_concept_drift_noisy001
79,0.001,0.8,True,-1,nodrift_noisy001
80,0.001,0.5,False,6000,stagger_short_noisy001
81,0.001,0.5,False,3000,sine1_short_noisy001
82,0.001,0.5,False,3000,sine2_short_noisy001
83,0.001,0.5,False,3000,smooth_concept_drift_noisy001
84,0.001,0.5,False,3000,abrupt_concept_drift_noisy001
85,0.001,0.5,False,3000,abrupt_covariate_noisy001
86,0.001,0.5,False,3000,gradual_concept_drift_noisy001
87,0.001,0.5,True,-1,nodrift_noisy001
88,0.001,0.25,True,164,stagger_short_noisy001
89,0.001,0.25,True,116,sine1_short_noisy001
90,0.001,0.25,True,118,sine2_short_noisy001
91,0.001,0.25,False,3000,smooth_concept_drift_noisy001
92,0.001,0.25,True,249,abrupt_concept_drift_noisy001
93,0.001,0.25,False,3000,abrupt_covariate_noisy001
94,0.001,0.25,False,3000,gradual_concept_drift_noisy001
95,0.001,0.25,True,-1,nodrift_noisy001
96,0.001,0.1,True,112,stagger_short_noisy001
97,0.001,0.1,True,81,sine1_short_noisy001
98,0.001,0.1,True,91,sine2_short_noisy001
99,0.001,0.1,True,688,smooth_concept_drift_noisy001
100,0.001,0.1,True,270,abrupt_concept_drift_noisy001
101,0.001,0.1,False,3000,abrupt_covariate_noisy001
102,0.001,0.1,True,922,gradual_concept_drift_noisy001
103,0.001,0.1,True,-1,nodrift_noisy001
104,0.001,0.01,True,96,stagger_short_noisy001
105,0.001,0.01,True,67,sine1_short_noisy001
106,0.001,0.01,True,74,sine2_short_noisy001
107,0.001,0.01,True,476,smooth_concept_drift_noisy001
108,0.001,0.01,True,168,abrupt_concept_drift_noisy001
109,0.001,0.01,False,3000,abrupt_covariate_noisy001
110,0.001,0.01,True,454,gradual_concept_drift_noisy001
111,0.001,0.01,True,-1,nodrift_noisy001
112,0.001,0.001,True,94,stagger_short_noisy001
113,0.001,0.001,True,66,sine1_short_noisy001
114,0.001,0.001,True,73,sine2_short_noisy001
115,0.001,0.001,True,440,smooth_concept_drift_noisy001
116,0.001,0.001,True,89,abrupt_concept_drift_noisy001
117,0.001,0.001,False,3000,abrupt_covariate_noisy001
118,0.001,0.001,True,457,gradual_concept_drift_noisy001
119,0.001,0.001,True,-1,nodrift_noisy001
120,0.001,0.0001,True,94,stagger_short_noisy001
121,0.001,0.0001,True,66,sine1_short_noisy001
122,0.001,0.0001,True,73,sine2_short_noisy001
123,0.001,0.0001,True,487,smooth_concept_drift_noisy001
124,0.001,0.0001,True,121,abrupt_concept_drift_noisy001
125,0.001,0.0001,True,317,abrupt_covariate_noisy001
126,0.001,0.0001,True,495,gradual_concept_drift_noisy001
127,0.001,0.0001,True,-1,nodrift_noisy001
128,0.01,1.0,False,6000,stagger_short_noisy01
129,0.01,1.0,False,3000,sine1_short_noisy01
130,0.01,1.0,False,3000,sine2_short_noisy01
131,0.01,1.0,False,3000,smooth_concept_drift_noisy01
132,0.01,1.0,False,3000,abrupt_concept_drift_noisy01
133,0.01,1.0,False,3000,abrupt_covariate_noisy01
134,0.01,1.0,False,3000,gradual_concept_drift_noisy01
135,0.01,1.0,True,-1,nodrift_noisy01
136,0.01,0.8,False,6000,stagger_short_noisy01
137,0.01,0.8,False,3000,sine1_short_noisy01
138,0.01,0.8,False,3000,sine2_short_noisy01
139,0.01,0.8,False,3000,smooth_concept_drift_noisy01
140,0.01,0.8,False,3000,abrupt_concept_drift_noisy01
141,0.01,0.8,False,3000,abrupt_covariate_noisy01
142,0.01,0.8,False,3000,gradual_concept_drift_noisy01
143,0.01,0.8,True,-1,nodrift_noisy01
144,0.01,0.5,False,6000,stagger_short_noisy01
145,0.01,0.5,False,3000,sine1_short_noisy01
146,0.01,0.5,False,3000,sine2_short_noisy01
147,0.01,0.5,False,3000,smooth_concept_drift_noisy01
148,0.01,0.5,False,3000,abrupt_concept_drift_noisy01
149,0.01,0.5,False,3000,abrupt_covariate_noisy01
150,0.01,0.5,False,3000,gradual_concept_drift_noisy01
151,0.01,0.5,True,-1,nodrift_noisy01
152,0.01,0.25,True,168,stagger_short_noisy01
153,0.01,0.25,True,115,sine1_short_noisy01
154,0.01,0.25,True,123,sine2_short_noisy01
155,0.01,0.25,False,3000,smooth_concept_drift_noisy01
