,retrain_adwin,retrain_adwin_shap
0_abrupt concept drift,[1571],[1598]
1_abrupt concept drift,[1539],[1569]
2_abrupt concept drift,[1548],[1555]
3_abrupt concept drift,[1537],[1571]
4_abrupt concept drift,[1593],[1599]
5_abrupt concept drift,[1553],[1603]
6_abrupt concept drift,[1553],[1605]
7_abrupt concept drift,[1526],[1572]
8_abrupt concept drift,[1568],[1604]
9_abrupt concept drift,[1526],[1555]
10_abrupt concept drift,[1571],[1583]
11_abrupt concept drift,[1587],[1519]
12_abrupt concept drift,[1598],[1596]
13_abrupt concept drift,[1581],[1616]
14_abrupt concept drift,[1577],[1628]
15_abrupt concept drift,[1567],[1603]
16_abrupt concept drift,[1551],[1585]
17_abrupt concept drift,[1528],[1625]
18_abrupt concept drift,[1570],[1694]
19_abrupt concept drift,[1545],[1571]
20_abrupt concept drift,[1543],[1587]
21_abrupt concept drift,[1533],[1535]
22_abrupt concept drift,[1566],[1550]
23_abrupt concept drift,[1554],[1619]
24_abrupt concept drift,[1539],[1571]
25_abrupt concept drift,[1582],[1604]
26_abrupt concept drift,[1549],[1553]
27_abrupt concept drift,[1533],[1595]
28_abrupt concept drift,[1539],[1588]
29_abrupt concept drift,[1558],[1570]
30_abrupt concept drift,[1539],[1640]
31_abrupt concept drift,[1561],[1603]
32_abrupt concept drift,[1535],[1536]
33_abrupt concept drift,[1582],[643]
34_abrupt concept drift,[1522],[1509]
35_abrupt concept drift,[1547],[1553]
36_abrupt concept drift,[1539],[1602]
37_abrupt concept drift,[1535],[1579]
38_abrupt concept drift,[1534],[1571]
39_abrupt concept drift,[1535],[1562]
40_abrupt concept drift,[1561],[1558]
41_abrupt concept drift,[1571],[1586]
42_abrupt concept drift,[1555],[1580]
43_abrupt concept drift,[1571],[1053]
44_abrupt concept drift,[1584],[1566]
45_abrupt concept drift,[1619],[1581]
46_abrupt concept drift,[1571],[1621]
47_abrupt concept drift,[1573],[1574]
48_abrupt concept drift,[1546],[1570]
49_abrupt concept drift,[1559],[1600]
