,retrain_KSWIN,retrain_KSWIN_shap
0_abrupt concept drift,[2406],[1671]
1_abrupt concept drift,[1529],[1645]
2_abrupt concept drift,[],[1665]
3_abrupt concept drift,[1528],[1644]
4_abrupt concept drift,[1525],[1691]
5_abrupt concept drift,[1517],[1638]
6_abrupt concept drift,[1517],[1614]
7_abrupt concept drift,[1837],[1686]
8_abrupt concept drift,[1528],[1661]
9_abrupt concept drift,[1530],[1653]
10_abrupt concept drift,[1545],[1710]
11_abrupt concept drift,[1525],[1630]
12_abrupt concept drift,[1528],[1704]
13_abrupt concept drift,[1539],[1690]
14_abrupt concept drift,[1524],[1662]
15_abrupt concept drift,[1519],[1602]
16_abrupt concept drift,[2148],[1666]
17_abrupt concept drift,[1530],[1660]
18_abrupt concept drift,[1526],[1647]
19_abrupt concept drift,[1529],[1659]
20_abrupt concept drift,[1529],[1691]
21_abrupt concept drift,[1518],[1638]
22_abrupt concept drift,[1524],[1614]
23_abrupt concept drift,[1841],[1686]
24_abrupt concept drift,[1529],[1661]
25_abrupt concept drift,[1529],[1653]
26_abrupt concept drift,[1539],[1710]
27_abrupt concept drift,[1524],[1630]
28_abrupt concept drift,[1528],[1704]
29_abrupt concept drift,[1538],[1690]
30_abrupt concept drift,[1521],[1662]
31_abrupt concept drift,[1517],[1602]
32_abrupt concept drift,[1574],[1666]
33_abrupt concept drift,[1530],[1660]
34_abrupt concept drift,[1524],[1647]
35_abrupt concept drift,[1530],[1659]
36_abrupt concept drift,[1525],[1691]
37_abrupt concept drift,[1518],[1638]
38_abrupt concept drift,[1517],[1614]
39_abrupt concept drift,[1840],[1686]
40_abrupt concept drift,[1528],[1661]
41_abrupt concept drift,[1526],[1653]
42_abrupt concept drift,[1537],[1710]
43_abrupt concept drift,[1527],[1630]
44_abrupt concept drift,[1528],[1704]
45_abrupt concept drift,[1540],[1690]
46_abrupt concept drift,[1522],[1662]
47_abrupt concept drift,[1518],[1602]
48_abrupt concept drift,[],[1666]
49_abrupt concept drift,[1533],[1660]
