,retrain_PH,retrain_PH_shap
0_abrupt concept drift,[1622],[1594]
1_abrupt concept drift,[1640],[1584]
2_abrupt concept drift,[1637],[1573]
3_abrupt concept drift,[1586],[1570]
4_abrupt concept drift,[1609],[1532]
5_abrupt concept drift,[1627],[1589]
6_abrupt concept drift,[1633],[1574]
7_abrupt concept drift,[1621],[1574]
8_abrupt concept drift,[1692],[1638]
9_abrupt concept drift,[1632],[1591]
10_abrupt concept drift,[1638],[1562]
11_abrupt concept drift,[1627],[1564]
12_abrupt concept drift,[1636],[1587]
13_abrupt concept drift,[1630],[1582]
14_abrupt concept drift,[1617],[1581]
15_abrupt concept drift,[1611],[1549]
16_abrupt concept drift,[1627],[1588]
17_abrupt concept drift,[1640],[1567]
18_abrupt concept drift,[1616],[1561]
19_abrupt concept drift,[1664],[1573]
20_abrupt concept drift,[1613],[1581]
21_abrupt concept drift,[1638],[1542]
22_abrupt concept drift,[1610],[1560]
23_abrupt concept drift,[1625],[1582]
24_abrupt concept drift,[1616],[1542]
25_abrupt concept drift,[1648],[1576]
26_abrupt concept drift,[1599],[1547]
27_abrupt concept drift,[1608],[1574]
28_abrupt concept drift,[1652],[1580]
29_abrupt concept drift,[1641],[1616]
30_abrupt concept drift,[1608],[1555]
31_abrupt concept drift,[1616],[1574]
32_abrupt concept drift,[1642],[1591]
33_abrupt concept drift,[1606],[1545]
34_abrupt concept drift,[1591],[1582]
35_abrupt concept drift,[1625],[1573]
36_abrupt concept drift,[1634],[1557]
37_abrupt concept drift,[1594],[1544]
38_abrupt concept drift,[1605],[1578]
39_abrupt concept drift,[1609],[1551]
40_abrupt concept drift,[1615],[1569]
41_abrupt concept drift,[1609],[1557]
42_abrupt concept drift,[1613],[1558]
43_abrupt concept drift,[1617],[1600]
44_abrupt concept drift,[1634],[1572]
45_abrupt concept drift,[1607],[1609]
46_abrupt concept drift,[1581],[1570]
47_abrupt concept drift,[1617],[1544]
48_abrupt concept drift,[1652],[1591]
49_abrupt concept drift,[1612],[1530]
