,retrain_KSWIN,retrain_KSWIN_shap
0_abrupt concept drift noisy05,[1535],[1675]
1_abrupt concept drift noisy05,[],[1656]
2_abrupt concept drift noisy05,[1529],[1661]
3_abrupt concept drift noisy05,[1533],[1716]
4_abrupt concept drift noisy05,[1530],[1675]
5_abrupt concept drift noisy05,[1524],[1651]
6_abrupt concept drift noisy05,[1518],[1676]
7_abrupt concept drift noisy05,[1536],[1706]
8_abrupt concept drift noisy05,[1523],[1651]
9_abrupt concept drift noisy05,[1546],[1696]
10_abrupt concept drift noisy05,[1525],[1605]
11_abrupt concept drift noisy05,[2327],[1709]
12_abrupt concept drift noisy05,[1524],[1651]
13_abrupt concept drift noisy05,[1518],[1676]
14_abrupt concept drift noisy05,[1531],[1706]
15_abrupt concept drift noisy05,[1525],[1651]
16_abrupt concept drift noisy05,[],[1696]
17_abrupt concept drift noisy05,[1523],[1605]
18_abrupt concept drift noisy05,[2538],[1709]
19_abrupt concept drift noisy05,[1524],[1651]
20_abrupt concept drift noisy05,[1525],[1676]
21_abrupt concept drift noisy05,[1530],[1706]
22_abrupt concept drift noisy05,[1524],[1651]
23_abrupt concept drift noisy05,[],[1696]
24_abrupt concept drift noisy05,[1523],[1605]
25_abrupt concept drift noisy05,[1523],[1709]
26_abrupt concept drift noisy05,[1525],[1651]
27_abrupt concept drift noisy05,[1518],[1676]
28_abrupt concept drift noisy05,[1532],[1706]
29_abrupt concept drift noisy05,[1526],[1651]
30_abrupt concept drift noisy05,[1816],[1696]
31_abrupt concept drift noisy05,[1526],[1605]
32_abrupt concept drift noisy05,[2533],[1709]
33_abrupt concept drift noisy05,[1522],[1651]
34_abrupt concept drift noisy05,[1517],[1676]
35_abrupt concept drift noisy05,[1530],[1706]
36_abrupt concept drift noisy05,[1527],[1651]
37_abrupt concept drift noisy05,[1543],[1696]
38_abrupt concept drift noisy05,[1524],[1605]
39_abrupt concept drift noisy05,[2064],[1709]
40_abrupt concept drift noisy05,[1524],[1651]
41_abrupt concept drift noisy05,[1517],[1676]
42_abrupt concept drift noisy05,[1532],[1706]
43_abrupt concept drift noisy05,[1527],[1651]
44_abrupt concept drift noisy05,[1814],[1696]
45_abrupt concept drift noisy05,[1525],[1605]
46_abrupt concept drift noisy05,[1794],[1709]
47_abrupt concept drift noisy05,[1523],[1651]
48_abrupt concept drift noisy05,[1516],[1676]
49_abrupt concept drift noisy05,[1529],[1706]
