,retrain_PH,retrain_PH_shap
0_abrupt concept drift noisy05,[1638],[1577]
1_abrupt concept drift noisy05,[1574],[1606]
2_abrupt concept drift noisy05,[1659],[1683]
3_abrupt concept drift noisy05,[1663],[1637]
4_abrupt concept drift noisy05,[1599],[1581]
5_abrupt concept drift noisy05,[1629],[1644]
6_abrupt concept drift noisy05,[1634],[1634]
7_abrupt concept drift noisy05,[1556],[1643]
8_abrupt concept drift noisy05,[1614],[1629]
9_abrupt concept drift noisy05,[1664],[1548]
10_abrupt concept drift noisy05,[1620],[1608]
11_abrupt concept drift noisy05,[1616],[1655]
12_abrupt concept drift noisy05,[1608],[1718]
13_abrupt concept drift noisy05,[1642],[1642]
14_abrupt concept drift noisy05,[1629],[1578]
15_abrupt concept drift noisy05,[1677],[1649]
16_abrupt concept drift noisy05,[1642],[1615]
17_abrupt concept drift noisy05,[1604],[1605]
18_abrupt concept drift noisy05,[1620],[1608]
19_abrupt concept drift noisy05,[1616],[1655]
20_abrupt concept drift noisy05,[1608],[1718]
21_abrupt concept drift noisy05,[1642],[1642]
22_abrupt concept drift noisy05,[1629],[1578]
23_abrupt concept drift noisy05,[1677],[1649]
24_abrupt concept drift noisy05,[1642],[1615]
25_abrupt concept drift noisy05,[1604],[1605]
26_abrupt concept drift noisy05,[1620],[1608]
27_abrupt concept drift noisy05,[1616],[1655]
28_abrupt concept drift noisy05,[1608],[1718]
29_abrupt concept drift noisy05,[1642],[1642]
30_abrupt concept drift noisy05,[1629],[1578]
31_abrupt concept drift noisy05,[1677],[1649]
32_abrupt concept drift noisy05,[1642],[1615]
33_abrupt concept drift noisy05,[1604],[1605]
34_abrupt concept drift noisy05,[1620],[1608]
35_abrupt concept drift noisy05,[1616],[1655]
36_abrupt concept drift noisy05,[1608],[1718]
37_abrupt concept drift noisy05,[1642],[1642]
38_abrupt concept drift noisy05,[1629],[1578]
39_abrupt concept drift noisy05,[1677],[1649]
40_abrupt concept drift noisy05,[1642],[1615]
41_abrupt concept drift noisy05,[1604],[1605]
42_abrupt concept drift noisy05,[1620],[1608]
43_abrupt concept drift noisy05,[1616],[1655]
44_abrupt concept drift noisy05,[1608],[1718]
45_abrupt concept drift noisy05,[1642],[1642]
46_abrupt concept drift noisy05,[1629],[1578]
47_abrupt concept drift noisy05,[1677],[1649]
48_abrupt concept drift noisy05,[1642],[1615]
49_abrupt concept drift noisy05,[1604],[1605]
