,retrain_PH,retrain_PH_shap
0_abrupt covariate,[1455],[1187]
1_abrupt covariate,[],[1076]
2_abrupt covariate,[],[1006]
3_abrupt covariate,[],[1000]
4_abrupt covariate,[],[1003]
5_abrupt covariate,[],[1024]
6_abrupt covariate,[],[1106]
7_abrupt covariate,[],[1028]
8_abrupt covariate,[],[]
9_abrupt covariate,[],[]
10_abrupt covariate,[2731],[1037]
11_abrupt covariate,[1443],[991]
12_abrupt covariate,[],[1236]
13_abrupt covariate,[1472],[982]
14_abrupt covariate,[],[1145]
15_abrupt covariate,[1482],[994]
16_abrupt covariate,[],[982]
17_abrupt covariate,[],[1089]
18_abrupt covariate,[],[1002]
19_abrupt covariate,[],[1004]
20_abrupt covariate,[],[1211]
21_abrupt covariate,[],[1051]
22_abrupt covariate,[2434],[1000]
23_abrupt covariate,[],[1004]
24_abrupt covariate,[],[1258]
25_abrupt covariate,[2884],[1026]
26_abrupt covariate,[2978],[1020]
27_abrupt covariate,[],[]
28_abrupt covariate,[1456],[1111]
29_abrupt covariate,[],[1284]
30_abrupt covariate,[],[1089]
31_abrupt covariate,[2429],[1036]
32_abrupt covariate,[],[1297]
33_abrupt covariate,[1487],[1067]
34_abrupt covariate,[],[946]
35_abrupt covariate,[],[994]
36_abrupt covariate,[],[1050]
37_abrupt covariate,[2605],[1054]
38_abrupt covariate,[2769],[992]
39_abrupt covariate,[2417],[994]
40_abrupt covariate,[],[1022]
41_abrupt covariate,[1451],[1202]
42_abrupt covariate,[],[1056]
43_abrupt covariate,[2916],[1065]
44_abrupt covariate,[],[1018]
45_abrupt covariate,[1385],[1051]
46_abrupt covariate,[2985],[1088]
47_abrupt covariate,[],[1329]
48_abrupt covariate,[1365],[1025]
49_abrupt covariate,[],[1034]
