,retrain_KSWIN,retrain_KSWIN_shap
0_gradual concept drift,[1032],[]
1_gradual concept drift,[1239],[]
2_gradual concept drift,[1228],[]
3_gradual concept drift,[1228],[]
4_gradual concept drift,[1016],[2043]
5_gradual concept drift,[1021],[]
6_gradual concept drift,[1225],[]
7_gradual concept drift,[1253],[]
8_gradual concept drift,[1032],[]
9_gradual concept drift,[1026],[]
10_gradual concept drift,[1226],[]
11_gradual concept drift,[1021],[]
12_gradual concept drift,[1020],[]
13_gradual concept drift,[1030],[]
14_gradual concept drift,[1225],[]
15_gradual concept drift,[1022],[]
16_gradual concept drift,[1029],[]
17_gradual concept drift,[1027],[]
18_gradual concept drift,[1299],[]
19_gradual concept drift,[1224],[1654]
20_gradual concept drift,[1027],[]
21_gradual concept drift,[1027],[1845]
22_gradual concept drift,[1012],[]
23_gradual concept drift,[1032],[2250]
24_gradual concept drift,[1218],[]
25_gradual concept drift,[1024],[]
26_gradual concept drift,[1021],[]
27_gradual concept drift,[1234],[]
28_gradual concept drift,[1226],[]
29_gradual concept drift,[1220],[]
30_gradual concept drift,[1026],[]
31_gradual concept drift,[1027],[]
32_gradual concept drift,[1027],[]
33_gradual concept drift,[1021],[]
34_gradual concept drift,[1018],[]
35_gradual concept drift,[1227],[]
36_gradual concept drift,[1016],[]
37_gradual concept drift,[1019],[]
38_gradual concept drift,[1026],[]
39_gradual concept drift,[1018],[2362]
40_gradual concept drift,[1013],[]
41_gradual concept drift,[1023],[]
42_gradual concept drift,[1422],[]
43_gradual concept drift,[1007],[]
44_gradual concept drift,[1020],[]
45_gradual concept drift,[1226],[1236]
46_gradual concept drift,[1218],[]
47_gradual concept drift,[1024],[]
48_gradual concept drift,[1235],[]
49_gradual concept drift,[1216],[]
