,retrain_PH,retrain_PH_shap
0_gradual concept drift,[1439],[1471]
1_gradual concept drift,[1473],[1469]
2_gradual concept drift,[1470],[1265]
3_gradual concept drift,[1625],[1265]
4_gradual concept drift,[1436],[1251]
5_gradual concept drift,[1456],[1507]
6_gradual concept drift,[1438],[1261]
7_gradual concept drift,[1458],[1254]
8_gradual concept drift,[1470],[1249]
9_gradual concept drift,[1445],[1480]
10_gradual concept drift,[1466],[1448]
11_gradual concept drift,[1468],[1439]
12_gradual concept drift,[1263],[1235]
13_gradual concept drift,[1494],[1480]
14_gradual concept drift,[1447],[1436]
15_gradual concept drift,[1264],[1257]
16_gradual concept drift,[1456],[1452]
17_gradual concept drift,[1471],[1250]
18_gradual concept drift,[1475],[1242]
19_gradual concept drift,[1477],[1462]
20_gradual concept drift,[1420],[1269]
21_gradual concept drift,[1456],[1418]
22_gradual concept drift,[1446],[1238]
23_gradual concept drift,[1463],[1255]
24_gradual concept drift,[1445],[1259]
25_gradual concept drift,[1499],[1465]
26_gradual concept drift,[1474],[1249]
27_gradual concept drift,[1633],[1250]
28_gradual concept drift,[1462],[1262]
29_gradual concept drift,[1491],[1640]
30_gradual concept drift,[1461],[1255]
31_gradual concept drift,[1447],[1260]
32_gradual concept drift,[1420],[1265]
33_gradual concept drift,[1491],[1257]
34_gradual concept drift,[1448],[1248]
35_gradual concept drift,[1441],[1268]
36_gradual concept drift,[1443],[1237]
37_gradual concept drift,[1454],[1457]
38_gradual concept drift,[1433],[1262]
39_gradual concept drift,[1450],[1448]
40_gradual concept drift,[1445],[1259]
41_gradual concept drift,[1499],[1465]
42_gradual concept drift,[1474],[1249]
43_gradual concept drift,[1633],[1250]
44_gradual concept drift,[1462],[1262]
45_gradual concept drift,[1491],[1640]
46_gradual concept drift,[1461],[1255]
47_gradual concept drift,[1447],[1260]
48_gradual concept drift,[1420],[1265]
49_gradual concept drift,[1491],[1257]
