,retrain_KSWIN,retrain_KSWIN_shap
0_sine1_short,[1006],[1098]
1_sine1_short,[1007],[1096]
2_sine1_short,[1007],[1092]
3_sine1_short,[1006],[1097]
4_sine1_short,[1005],[1098]
5_sine1_short,[1006],[1098]
6_sine1_short,[1007],[1096]
7_sine1_short,[1012],[1093]
8_sine1_short,[1007],[1096]
9_sine1_short,[1008],[1101]
10_sine1_short,[1006],[1097]
11_sine1_short,[1006],[1097]
12_sine1_short,[1005],[1099]
13_sine1_short,[1008],[1098]
14_sine1_short,[1010],[1097]
15_sine1_short,[1006],[1091]
16_sine1_short,[1012],[1098]
17_sine1_short,[1010],[1094]
18_sine1_short,[1007],[1091]
19_sine1_short,[1008],[1097]
20_sine1_short,[1006],[1092]
21_sine1_short,[1008],[1089]
22_sine1_short,[1006],[1098]
23_sine1_short,[1006],[1098]
24_sine1_short,[1007],[1092]
25_sine1_short,[1007],[1097]
26_sine1_short,[1008],[1095]
27_sine1_short,[1007],[1091]
28_sine1_short,[1010],[1086]
29_sine1_short,[1010],[1095]
30_sine1_short,[1007],[1098]
31_sine1_short,[1006],[1098]
32_sine1_short,[1011],[1095]
33_sine1_short,[1006],[1090]
34_sine1_short,[1006],[1096]
35_sine1_short,[1008],[1098]
36_sine1_short,[1008],[1093]
37_sine1_short,[1011],[1097]
38_sine1_short,[1011],[1098]
39_sine1_short,[1008],[1097]
40_sine1_short,[1010],[1097]
41_sine1_short,[1011],[1095]
42_sine1_short,[1009],[1091]
43_sine1_short,[1013],[1096]
44_sine1_short,[1006],[1098]
45_sine1_short,[1010],[1096]
46_sine1_short,[1012],[1092]
47_sine1_short,[1006],[1096]
48_sine1_short,[1010],[1091]
49_sine1_short,[1005],[1092]
