,retrain_adwin,retrain_adwin_shap
0_smooth concept drift,[1315],[1552]
1_smooth concept drift,[1315],[1596]
2_smooth concept drift,[1381],[1187]
3_smooth concept drift,[1251],[1578]
4_smooth concept drift,[1336],[1628]
5_smooth concept drift,[1326],[1547]
6_smooth concept drift,[1379],[1741]
7_smooth concept drift,[1377],[1647]
8_smooth concept drift,[1518],[1379]
9_smooth concept drift,[1361],[1625]
10_smooth concept drift,[1379],[1539]
11_smooth concept drift,[1395],[1561]
12_smooth concept drift,[1312],[1611]
13_smooth concept drift,[1379],[1608]
14_smooth concept drift,[1400],[1827]
15_smooth concept drift,[1371],[1816]
16_smooth concept drift,[1287],[1571]
17_smooth concept drift,[1257],[1507]
18_smooth concept drift,[1386],[1443]
19_smooth concept drift,[1413],[1512]
20_smooth concept drift,[1330],[1578]
21_smooth concept drift,[1379],[1379]
22_smooth concept drift,[1488],[1571]
23_smooth concept drift,[1430],[1507]
24_smooth concept drift,[1462],[1507]
25_smooth concept drift,[1366],[1411]
26_smooth concept drift,[1381],[1411]
27_smooth concept drift,[1249],[1404]
28_smooth concept drift,[1332],[1532]
29_smooth concept drift,[1343],[1807]
30_smooth concept drift,[1295],[1246]
31_smooth concept drift,[1443],[1717]
32_smooth concept drift,[1409],[1401]
33_smooth concept drift,[1249],[1581]
34_smooth concept drift,[1424],[1444]
35_smooth concept drift,[1379],[1596]
36_smooth concept drift,[1344],[1548]
37_smooth concept drift,[1289],[1573]
38_smooth concept drift,[1430],[1520]
39_smooth concept drift,[1419],[1555]
40_smooth concept drift,[1429],[1507]
41_smooth concept drift,[1378],[1379]
42_smooth concept drift,[1262],[1510]
43_smooth concept drift,[1312],[1778]
44_smooth concept drift,[1484],[1475]
45_smooth concept drift,[1280],[1443]
46_smooth concept drift,[1352],[1763]
47_smooth concept drift,[1315],[1744]
48_smooth concept drift,[1260],[1469]
49_smooth concept drift,[1458],[1760]
