,retrain_KSWIN,retrain_KSWIN_shap
0_smooth concept drift,[],[1729]
1_smooth concept drift,[2877],[1993]
2_smooth concept drift,[],[1826]
3_smooth concept drift,[],[]
4_smooth concept drift,[],[2541]
5_smooth concept drift,[1764],[]
6_smooth concept drift,[2143],[]
7_smooth concept drift,[],[]
8_smooth concept drift,[],[]
9_smooth concept drift,[2447],[]
10_smooth concept drift,[1629],[1903]
11_smooth concept drift,[],[]
12_smooth concept drift,[2346],[]
13_smooth concept drift,[1509],[]
14_smooth concept drift,[1725],[1916]
15_smooth concept drift,[1853],[]
16_smooth concept drift,[1536],[1550]
17_smooth concept drift,[],[]
18_smooth concept drift,[2114],[]
19_smooth concept drift,[],[]
20_smooth concept drift,[1371],[]
21_smooth concept drift,[2564],[]
22_smooth concept drift,[],[]
23_smooth concept drift,[],[1930]
24_smooth concept drift,[1906],[]
25_smooth concept drift,[],[]
26_smooth concept drift,[2624],[1858]
27_smooth concept drift,[2018],[]
28_smooth concept drift,[],[1877]
29_smooth concept drift,[1807],[]
30_smooth concept drift,[],[]
31_smooth concept drift,[],[]
32_smooth concept drift,[1602],[]
33_smooth concept drift,[2395],[1780]
34_smooth concept drift,[],[]
35_smooth concept drift,[],[]
36_smooth concept drift,[2427],[]
37_smooth concept drift,[1873],[]
38_smooth concept drift,[],[]
39_smooth concept drift,[],[]
40_smooth concept drift,[1630],[]
41_smooth concept drift,[],[2087]
42_smooth concept drift,[2804],[]
43_smooth concept drift,[2712],[]
44_smooth concept drift,[1767],[]
45_smooth concept drift,[],[]
46_smooth concept drift,[2168],[]
47_smooth concept drift,[2188],[]
48_smooth concept drift,[],[]
49_smooth concept drift,[2032],[1270]
