,retrain_adwin,retrain_adwin_shap
0_smooth concept drift noisy01,[1385],[1635]
1_smooth concept drift noisy01,[1476],[1723]
2_smooth concept drift noisy01,[1379],[1507]
3_smooth concept drift noisy01,[1344],[1587]
4_smooth concept drift noisy01,[1392],[1708]
5_smooth concept drift noisy01,[1315],[1850]
6_smooth concept drift noisy01,[1420],[1792]
7_smooth concept drift noisy01,[1409],[1763]
8_smooth concept drift noisy01,[1354],[1614]
9_smooth concept drift noisy01,[1341],[1625]
10_smooth concept drift noisy01,[1481],[1524]
11_smooth concept drift noisy01,[1320],[1866]
12_smooth concept drift noisy01,[1284],[1763]
13_smooth concept drift noisy01,[1370],[1571]
14_smooth concept drift noisy01,[1400],[1564]
15_smooth concept drift noisy01,[1438],[1750]
16_smooth concept drift noisy01,[1507],[1821]
17_smooth concept drift noisy01,[1379],[1628]
18_smooth concept drift noisy01,[1392],[1443]
19_smooth concept drift noisy01,[1409],[1707]
20_smooth concept drift noisy01,[1364],[1607]
21_smooth concept drift noisy01,[1379],[1865]
22_smooth concept drift noisy01,[1379],[1475]
23_smooth concept drift noisy01,[1338],[1507]
24_smooth concept drift noisy01,[1389],[1799]
25_smooth concept drift noisy01,[1422],[1608]
26_smooth concept drift noisy01,[1379],[1626]
27_smooth concept drift noisy01,[1387],[1538]
28_smooth concept drift noisy01,[1342],[1548]
29_smooth concept drift noisy01,[1254],[1509]
30_smooth concept drift noisy01,[1379],[1571]
31_smooth concept drift noisy01,[1424],[1519]
32_smooth concept drift noisy01,[1502],[1502]
33_smooth concept drift noisy01,[1363],[1614]
34_smooth concept drift noisy01,[1379],[1766]
35_smooth concept drift noisy01,[1364],[1511]
36_smooth concept drift noisy01,[1140],[1617]
37_smooth concept drift noisy01,[1315],[939]
38_smooth concept drift noisy01,[1429],[1779]
39_smooth concept drift noisy01,[1345],[1627]
40_smooth concept drift noisy01,[1395],[1774]
41_smooth concept drift noisy01,[1379],[1635]
42_smooth concept drift noisy01,[1398],[1738]
43_smooth concept drift noisy01,[1379],[1515]
44_smooth concept drift noisy01,[1422],[1561]
45_smooth concept drift noisy01,[1379],[1720]
46_smooth concept drift noisy01,[1443],[1523]
47_smooth concept drift noisy01,[1251],[1507]
48_smooth concept drift noisy01,[1429],[1584]
49_smooth concept drift noisy01,[1487],[1790]
