,retrain_KSWIN,retrain_KSWIN_shap
0_stagger_short,[2024],[2123]
1_stagger_short,[2025],[2083]
2_stagger_short,[2023],[2092]
3_stagger_short,[2025],[2095]
4_stagger_short,[2023],[2111]
5_stagger_short,[2023],[2102]
6_stagger_short,[2020],[2102]
7_stagger_short,[2020],[2095]
8_stagger_short,[2024],[2095]
9_stagger_short,[2024],[2095]
10_stagger_short,[2021],[2102]
11_stagger_short,[2024],[2111]
12_stagger_short,[2023],[2095]
13_stagger_short,[2024],[2078]
14_stagger_short,[2024],[2078]
15_stagger_short,[2020],[2095]
16_stagger_short,[2023],[2095]
17_stagger_short,[2021],[2111]
18_stagger_short,[2020],[2102]
19_stagger_short,[2022],[2111]
20_stagger_short,[2023],[2083]
21_stagger_short,[2023],[2102]
22_stagger_short,[2023],[2078]
23_stagger_short,[2024],[2083]
24_stagger_short,[2022],[2098]
25_stagger_short,[2023],[2095]
26_stagger_short,[2021],[2111]
27_stagger_short,[2023],[2102]
28_stagger_short,[2023],[2083]
29_stagger_short,[2023],[2102]
30_stagger_short,[2020],[2102]
31_stagger_short,[2020],[2095]
32_stagger_short,[2023],[2102]
33_stagger_short,[2023],[2078]
34_stagger_short,[2024],[2102]
35_stagger_short,[2024],[2095]
36_stagger_short,[2024],[2095]
37_stagger_short,[2023],[2078]
38_stagger_short,[2024],[2102]
39_stagger_short,[2024],[2095]
40_stagger_short,[2023],[2102]
41_stagger_short,[2021],[2102]
42_stagger_short,[2024],[2102]
43_stagger_short,[2023],[2102]
44_stagger_short,[2024],[2083]
45_stagger_short,[2024],[2092]
46_stagger_short,[2021],[2083]
47_stagger_short,[2024],[2095]
48_stagger_short,[2024],[2078]
49_stagger_short,[2027],[2078]
